district	schoolName
160	1957
161	1964,1965,1966,3499,4425
162	391,1194,1221,1497,1578,1627,1873,2000,2001,2004,2006,2286,2428,2465,2801,2886,2935,3258,3275,4708,5073,5340,5740,5818,5849,7433,7755,7843,7849,7872,9148,9177,9198,9527,9781,9943,10062
163	81,591,740,1612,1926,2013,2015,2216,2936,3583,4941,5013,5403,5530,5616,6419,7554,8321,8952,9170,9734,9808,9908,9909,9910,9979
164	114,1298,1596,1852,2024,2026,2636,3193,4381,5569,8859
165	2025,5196
166	1089,2044,4520,4572,4792,5705
167	1954,5822,6718,9882,10167
168	1576,2062
169	647,883,1578,1625,1817,1835,2069,2070,2071,2072,2073,2074,2081,2535,2536,2582,2675,2761,2823,3207,3435,3507,3830,4068,4162,4461,4505,4530,4583,5120,5172,5221,5441,6474,6475,6476,6783,6787,7028,7315,7709,7740,7834,7855,8235,8443,8926,9055,9571,9590,10020,10158
170	2076,2078,2079,2080,2621,6935,8462
171	3043,4579,5083,5652,6125,7473,7613,7819,9034,9035,9155,9385,9720
172	2097,6500,9844
173	756,873,2112,2216,3087,3751,5023,5037,5611,5925,5926,6556,7907,8449,8572,9267,10170
174	2191,5370,7476,9122
175	2195,2196,2197,2198,2774,2794,3116,4864,5257
176	73,1002,1244,1739,1777,2204,2226,2367,2582,2628,3408,3827,4490,4532,4569,4860,5437,5604,6117,6196,6294,6366,7407,7991,8436,8767,9715,9766,9883,10003,10028
177	2211,2212,2779,3617,5447,6817,6941
178	2213,7650
179	2214,8424
180	60,1836,3296,4661,5646,8765
181	963,1629,2229,2287,2288,3271,3320,4766,5653,6504,6725,7076,7203,7439,7752
182	2319,2430,4318,5943,6211
183	590,1447,2332,2334,6668,7961,8958,9234
184	1525,2336,2840,9372
185	2337
186	916,2151,2340,4494,5776,6223,7168,8909
187	1638,2360,2361,7756,9467
188	180,286,1555,2358,3337,3889,4936,6197,6581,7200,7347,9084
189	2364,2365,2752,3856,8259
190	2381,2382,2383,2384
191	73,357,376,402,1478,1945,2399,2552,2583,3506,3519,3876,3999,4196,4300,4301,4411,4426,4429,4529,4539,4920,4921,5492,5752,6939,6940,7623,8347,8855,9130,9147
192	2436,4461,4529,5223,7843,8446,9784
193	2453,5769,5998,9442
194	390,1243,2454,2455,3738,5564,9270
195	906,1155,2499,2500,2501,9930
196	2509
197	167,1470,1960,2505,2518,2519,3403,3460,3746,4278,5176,6704,7338,7671,7679,8741,8930,9396,9759,9767,10036
198	456,460,760,2123,2144,4014,6713,7386,8466
199	400,811,2564,5807,6262,7919,9492
200	2099,2565,2566,2822,3324,3862,4377,4408,4541,6297,9468,9833
201	2567
202	2574
203	2575,2576
204	2578,2579,2580
