city	schoolName
71	1210,1211,2409,3305,4179,5223,5849,5916,6842,6901,6925,7843,9607,9781
72	1213
73	1241
74	216,575,782,1277,3636,5042,5478,7902
75	663,990,1295,1296,1629,2488,2930,4461,4721,5565,7805,10022
76	817,1143,5936,9237
77	954,1315,3339
78	1316,1317,6934
79	139,510,1328,1329,1403,2498,3362,3449,4898,5026,5040,5425,6129,7251,7252,7253,7322,7469,7493,8218,9185,9389,9551
80	1005,1342,1710
81	1360,2769
82	1364,1413,1414
83	1363
84	1366
85	1382
86	6381,6756
87	678,1182,1282,1438,1477,2738,4185,4461,4708,4872,4873,4874,5538,6047,6724,6900,7265,8691,9473
88	1449,1451
89	1308,1694,2120
90	226,1369,1471,1472,1473,7658
91	18,90,94,352,353,401,445,446,1024,1027,1121,1122,1299,1460,1462,1463,1481,1483,1485,1486,1487,1546,1547,2209,2321,2322,2457,2458,2462,2610,3358,3359,3577,5101,5102,5546,5547,8757,9241,9242,9360,9949
92	1493,1494,5629
93	1514,5271,8184
94	1393,1534,1536,1646,1738,2142,4290,4291,4470,4471,5727,6973,6974,7350,7553,8729,9530
95	155,4436,6362,7684,8888
96	522,988,1480,1540,1609,1620,1633,2473,3819,4501,4922,5464,5533,7066,7996,8476,9319,9752,9959
97	69,1067,1457,1495,1622,1623,2446,2859,3400,3633,3897,5100,6460,6583,8806,9091,9251,9960,10118
98	91,936,1004,1233,1584,1676,1747,1748,1749,1811,2053,2898,3065,4170,4319,5266,5313,5669,5719,5859,6352,6567,6634,7034,7216,7249,7873,8363,8394,8440,9976
99	220,438,1181,1271,1768,2429,2466,2590,2729,4205,5488,5541,6429,7456,9731
100	1059,1240,1390,1669,1769,1770,2107,2599,3517,3573,4044,5953,6624,7772,7825,7922
101	1773,3081,5920,7834,8761,10082
102	235,315,565,786,1028,1029,1327,1510,1522,1523,1524,1789,1790,1791,1792,1856,2034,2284,2431,2440,2639,2664,2665,2666,3120,3788,3842,3947,4009,4050,4054,4061,4102,4104,4105,4208,4705,5062,5104,5161,5189,5312,5504,5723,5786,5860,6166,6273,6730,6735,6777,6837,6838,6970,6971,7034,7479,7606,7816,7820,7871,7987,8759,9190,9439,9568,9687,10119
103	532,1334,1476,2802,3667,4802,5197,5692,5933,8093,8495,8907,8969,10166
104	9227,10034
105	1669,1837,1838,1976,2009,2252,2796,6657,8009,8866,8954,9666
106	2415
107	1216,1857,4851,7280
108	1878,4461,9776
109	314,537,1166,1172,1564,1583,1615,1843,1881,1882,1883,1884,1885,1886,1888,1889,1917,2119,2562,2932,3327,3430,3453,3522,4461,5615,6032,6084,7387,7521,7525,7590,8443,9013,9830,10162
110	1264,1629,2043,4269,6569,7131,9438,9492
111	450,1335,1896,1897,3985,6361,8908
112	1922,1924,9826
113	4152
114	73,214,1951,1952,2035,3513,7082,7524,8150,8505,9370,9783,10005,10020,10158
115	1964,1965,1966,3499,4425
116	8675
117	728,4832,4958,7894
118	1221,1578,1627,1873,2000,2001,2004,2006,2286,2428,2801,2886,2935,3258,4607,4608,4708,5073,5340,5818,5849,6452,6742,7433,7755,7843,7849,7872,9177,9272,9781,10062
119	683,1333,1852,2007,2180,2414,2770,2778,3193,4079,4120,5314,5870,6119,6236,6253,6731,7399,7962,8315,8345,8467,8627,8854,8868,8902,9941,10164,10173,10187,10188
120	6555
121	1576,1954,2062,5822,6718,9882,10167
122	647,883,1578,1625,1817,2069,2070,2071,2072,2073,2074,2081,2536,2582,2761,3207,3435,3507,3830,4162,4461,4505,4583,5120,5172,5221,5475,6783,6787,7028,7315,7352,7709,7834,8235,8926,9055,9571,10020,10158
123	2076,2078,2079,2080,2621,6935,8462
124	123,690,1302,1698,1932,2089,2626,2990,3036,3863,3952,4758,5241,5799,7083,7284,8549,9580,9721,9965,10079,10144
125	9155
126	9714
127	2097,6500,9844
128	36,217,693,756,873,1562,1711,2112,2216,3087,3151,3542,3562,5023,5037,5925,6556,8449,8551,8791
129	916,1525,2151,2336,2340,2840,4494,5776,7168,8909,9372
130	9484
131	6241
132	2852
133	73,1244,2203,2204,2226,3408,4165,4532,4860,6105,6294,7991,8767,9766,9883,10003,10028
134	60,1836,2217,2353,3296,4661,5184,5646,6863
135	143,788,2260,3137,3304,3415,3434,3468,3507,4090,4462,4529,4668,5647,5699,6847,6849,6981,8496,8862,8926,9143,9157,9166,9908,9919,10158
136	2248,6933,7616,7617
137	2138,6109
138	2229,5653
139	9125
140	2347
141	2349,4320
142	7152
143	1957,3889,10123
144	2752
145	2381,2382,2383,2384,7592
146	842,1164,1250,2392,2401,2721,4663,6921,9359
147	543,1526,1674,2418,2421,3616,5348,5618,6984,7389
148	1684,4283,9379
